"metro","cbsa","TReturns13","tnew13","eitc13","eitcamt13","tchildret_13","tchildamt_13","taddchildret_13","taddchildamt_13","ttf2441_13","ttedcr_13","ttsld_13","trefund13","TREFAM13","ttbal13","ttsumbal13","ttdirdep_13","ttral_13","ttrac_13","ttself13","ttpaid13","TTtotvol13","TT1040_13","TT1040A_13","TT1040ez_13","ITIN13","ttcef13","yr13ttagi_0","yr13ttagi_5","yr13ttagi_10","yr13ttagi_15","yr13ttagi_20","yr13ttagi_25","yr13ttagi_30","yr13ttagi_35","yr13ttagi_40","yr13ttagi_50","yr13ttagi_60","yr13ttagi_75","yr13ttagi_1x","ERETURN13","ENEW13","EEIC13","EEICAM13","EQC0_13","EQC0AMT_13","EQC1_13","EQC1AMT_13","EQC2_13","EQC2AMT_13","EQC3_13","EQC3AMT_13","ECTC13","ECTCAM13","EACTC13","EACTCAM13","ECDCTC13","EEDCR13","ESLD13","EREF13","EREFAM13","EBAL13","EBALAM13","EDIRDP13","ERAL13","ERAC13","ESELF13","EPAID13","EVOL13","E1040_13","E1040A_13","E1040Z_13","ECEF13","EAGI0_13","EAGI5_13","EAGI10_13","EAGI15_13","EAGI20_13","EAGI25_13","EAGI30_13","EAGI35_13","EAGI40_13","EAGI50_13"
"Abilene, TX","=""10180""","66,199","2,308","16,713","41,316,827","11,757","14,591,179","11,337","14,879,396","3,032","4,152","5,688","55,014","157,139,875","8,542","40,252,938","46,715",121,"13,468","31,083","33,192","1,867","37,520","17,352","11,245",247,"16,327","5,738","5,799","6,316","6,109","5,468","4,661","3,817","3,215","5,025","4,015","4,652","5,226","5,924","16,713",206,"16,713","41,316,827","3,556","1,007,109","5,893","13,430,127","4,626","16,592,811","2,428","9,822,415","4,641","3,416,265","10,533","13,864,623",888,622,841,"16,301","74,483,589",365,"331,713","14,775",93,"7,282","7,240","8,950",447,"7,770","7,526","1,362","3,186","1,523","2,680","3,228","2,180","1,862","1,610","1,337",980,894,0
"Akron, OH","=""10420""","323,084","10,101","54,260","122,064,051","45,549","58,179,364","33,190","41,600,288","9,472","23,337","30,036","260,885","623,201,142","48,541","176,691,559","207,405",251,"46,179","160,052","154,933","8,023","219,700","59,290","43,216",991,"68,788","28,338","27,279","27,421","24,059","21,486","19,829","17,961","15,990","27,076","21,587","24,604","28,027","38,991","54,260",763,"54,260","122,064,051","14,841","4,030,513","19,426","43,508,410","13,370","48,082,939","6,528","26,223,993","12,381","9,290,974","29,757","36,881,733","2,063","3,032","3,371","52,545","206,781,169","1,653","1,325,561","46,379",148,"21,458","28,208","24,309","1,568","29,557","19,927","4,712","11,563","6,240","10,116","12,082","6,618","5,027","4,639","4,000","2,820","2,255",1
"Albany, GA","=""10500""","59,681","1,779","23,016","67,562,424","9,264","9,636,482","16,455","20,836,734","2,962","5,392","2,981","51,076","165,628,005","6,871","28,897,864","44,807",0,"22,704","23,082","34,935","1,585","39,157","14,634","5,867",372,"14,527","4,403","6,432","8,321","6,492","5,312","4,085","3,087","2,566","3,964","2,962","3,408","3,681","4,691","23,016",358,"23,016","67,562,424","3,436","964,549","9,440","23,749,381","7,545","31,243,029","2,462","11,378,218","4,173","2,667,187","15,420","19,187,649","1,293","1,681",537,"22,743","105,312,178",244,"187,508","21,335",0,"15,252","8,071","14,514",383,"13,253","8,607","1,099","5,933","1,310","4,004","6,093","3,854","2,749","1,964","1,271",852,495,0
"Albany, OR","=""10540""","46,303","1,481","8,844","19,411,169","7,880","10,425,250","6,221","8,596,836","1,702","3,068","3,732","35,930","85,321,987","7,607","24,013,167","27,981",0,"7,296","22,779","21,760","1,741","31,227","9,068","5,991",684,"10,553","3,826","3,845","4,008","3,747","3,126","2,911","2,508","2,267","3,750","3,275","4,024","4,367","4,471","8,844",109,"8,844","19,411,169","2,264","623,467","2,941","6,328,939","2,167","7,141,228","1,385","5,132,210","2,362","1,799,422","5,153","6,857,376",446,367,556,"8,549","33,134,343",258,"256,361","7,370",0,"3,462","4,904","3,535",339,"4,338","3,746",708,"1,503",949,"1,441","1,632","1,054",840,814,720,605,549,0
"Albany-Schenectady-Troy, NY","=""10580""","406,188","11,723","58,312","122,831,683","56,948","70,744,184","34,901","41,501,603","18,520","28,943","46,908","324,405","808,895,895","64,875","241,465,608","249,246",0,"58,208","189,023","197,888","19,087","274,417","76,521","54,238","1,254","81,603","33,100","29,421","28,877","25,707","24,251","22,560","20,399","18,119","32,068","27,202","32,271","41,452","69,505","58,312","1,111","58,312","122,831,683","16,105","4,425,532","21,343","46,165,748","13,828","46,980,006","6,237","23,948,705","14,538","10,764,009","31,671","37,671,883","3,673","2,507","3,890","56,190","217,422,386","1,832","1,816,697","48,059",0,"25,142","24,801","29,081","4,000","30,316","22,388","5,159","10,959","6,927","10,650","12,083","6,321","5,618","5,168","4,503","3,090","2,099",0
"Albuquerque, NM","=""10740""","364,569","11,281","81,933","188,595,167","61,165","71,582,243","58,499","76,564,316","13,285","27,510","29,020","289,335","735,723,466","56,571","199,803,737","245,293",55,"69,243","194,951","149,678","19,852","229,028","87,788","47,272","10,093","76,124","30,603","30,534","32,825","31,056","27,456","24,601","21,235","17,947","28,329","21,654","25,233","29,256","43,014","81,933","1,645","81,933","188,595,167","19,272","5,216,969","30,423","67,436,111","21,401","74,868,134","10,381","40,109,361","23,636","17,336,533","48,534","60,853,116","3,955","3,846","4,793","79,411","318,699,460","2,362","1,806,372","71,213",39,"33,666","41,557","35,660","4,482","38,446","36,888","6,355","14,309","8,212","13,405","15,916","10,425","8,951","8,406","7,072","4,762","3,580",54
"Alexandria, LA","=""10780""","60,625","1,972","17,708","47,166,869","11,246","13,122,987","12,101","14,800,291","2,723","3,319","3,445","50,320","148,587,459","8,371","36,954,390","42,520",106,"18,312","30,207","28,595","1,739","36,769","16,098","7,707",193,"12,111","4,428","5,568","6,240","5,944","4,858","3,923","3,331","2,921","4,616","3,553","4,075","4,653","6,150","17,708",248,"17,708","47,166,869","2,924","833,493","7,172","17,024,615","5,423","20,625,088","1,971","8,321,336","4,430","3,146,290","11,335","13,800,971",886,581,444,"17,372","76,431,327",244,"260,865","16,004",98,"10,194","8,519","8,738",346,"8,946","7,647",981,"2,839","1,383","2,870","3,791","2,882","2,038","1,553","1,221",823,551,0
"Allentown-Bethlehem-Easton, PA-NJ","=""10900""","387,326","11,548","59,954","133,804,586","57,274","71,257,007","38,821","47,749,232","15,861","25,931","34,884","311,369","809,007,155","54,163","208,670,997","230,528",16,"54,383","173,907","204,396","8,915","256,368","75,723","54,722","2,092","72,223","38,389","31,441","29,571","25,617","23,464","21,749","19,433","17,292","29,394","23,979","29,524","36,897","59,481","59,954","1,131","59,954","133,804,586","14,641","3,978,448","22,182","48,376,141","15,363","52,959,846","7,184","27,578,165","16,119","11,747,711","34,485","42,182,068","3,846","2,933","3,219","57,942","241,899,617","1,869","1,758,327","49,929",13,"24,777","26,577","31,936","1,110","29,308","24,877","5,456","10,969","5,982","10,073","12,074","7,287","6,380","5,853","5,194","3,429","2,614",12
"Altoona, PA","=""11020""","57,556","1,411","10,416","21,760,153","8,482","11,036,692","6,068","7,461,073","1,889","3,207","6,159","47,794","115,116,475","6,508","21,419,154","36,926",0,"7,811","24,464","31,436","1,637","33,923","14,856","8,759",12,"9,981","5,884","5,291","5,094","4,786","4,229","3,606","3,205","2,873","4,394","3,713","4,432","4,779","5,041","10,416",53,"10,416","21,760,153","2,944","774,703","3,774","8,250,283","2,398","7,998,713","1,237","4,569,830","2,647","1,997,821","5,557","6,871,192",432,446,854,"10,139","41,421,089",249,"237,663","8,874",0,"3,944","5,016","5,194",157,"4,779","4,570","1,047","1,473","1,214","1,848","2,049","1,282","1,021",874,819,611,550,0
"Amarillo, TX","=""11100""","104,109","4,022","25,263","65,035,442","20,172","25,111,554","18,609","25,028,128","4,726","7,273","7,067","86,228","244,500,992","14,116","73,277,553","73,765",25,"21,039","54,631","48,048","1,372","59,883","26,125","18,024","1,638","24,591","8,290","8,939","9,689","8,968","7,950","7,158","5,966","4,943","7,871","6,211","7,369","8,736","11,697","25,263",519,"25,263","65,035,442","4,854","1,374,821","9,188","21,112,003","7,138","26,074,804","3,840","15,875,097","7,532","5,537,969","16,583","22,092,539","1,292",964,931,"24,643","113,759,899",552,"613,483","22,430",21,"11,142","12,599","12,364",223,"12,056","11,166","1,920","4,956","1,970","3,752","4,957","3,410","3,021","2,764","2,107","1,462","1,187",11
